train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,12367,0.7836761474609375,-150.93284606933594,23.562713623046875,0.2609192728996277
0.0001,12492,0.8057909607887268,-158.84869384765625,22.33794403076172,0.23334446549415588
0.0001,12617,0.8239485025405884,-161.0337371826172,28.85059356689453,0.19979539513587952
0.0001,12742,0.8400547504425049,-160.54583740234375,14.257877349853516,0.17946761846542358
0.0001,12867,0.8549109697341919,-160.39791870117188,21.55060577392578,0.14845967292785645
0.0001,12992,0.8690562844276428,-163.34030151367188,15.680671691894531,0.12806156277656555
0.0001,13117,0.8826444745063782,-162.33065795898438,31.72153091430664,0.09919805079698563
0.0001,13242,0.8958638310432434,-167.93011474609375,34.08427429199219,0.0947018563747406
0.0001,13367,0.9089849591255188,-169.7437744140625,13.331209182739258,0.08192873746156693
0.0001,13492,0.921894907951355,-177.2146453857422,19.2655029296875,0.06373271346092224
0.0001,13617,0.9347918033599854,-174.54177856445312,16.89291000366211,0.0550764724612236
0.0001,13742,0.947567880153656,-178.25421142578125,21.047317504882812,0.04821119084954262
0.0001,13867,0.9603736400604248,-177.8936004638672,48.89866256713867,0.03362707048654556
0.0001,13992,0.9731628894805908,-183.6113739013672,21.54705810546875,0.02391093783080578
0.0001,14117,0.9860200881958008,-189.49615478515625,15.300113677978516,0.011737585067749023
0.0001,14242,0.9987823367118835,-189.5970458984375,39.39234924316406,0.001016516238451004
0.0001,14367,1.0116978883743286,-195.18309020996094,19.380468368530273,-0.0090566985309124
0.0001,14492,1.0246474742889404,-190.48760986328125,34.102725982666016,-0.02045353874564171
0.0001,14617,1.0377492904663086,-194.9499053955078,24.706851959228516,-0.02775840274989605
0.0001,14742,1.0509357452392578,-202.04190063476562,19.889148712158203,-0.04118938744068146
0.0001,14867,1.0643370151519775,-206.66787719726562,19.88767433166504,-0.05374973267316818
0.0001,14992,1.0777448415756226,-204.03463745117188,37.665565490722656,-0.05531986057758331
0.0001,15117,1.0913090705871582,-208.6356201171875,24.70077896118164,-0.06959185004234314
0.0001,15242,1.1052225828170776,-216.87620544433594,19.080642700195312,-0.09051467478275299
0.0001,15367,1.1191470623016357,-213.95272827148438,37.18284606933594,-0.08282559365034103
0.0001,15492,1.133249282836914,-218.44668579101562,26.31192398071289,-0.09991246461868286
0.0001,15617,1.1475436687469482,-224.7583770751953,26.585445404052734,-0.12676192820072174
0.0001,15742,1.161942481994629,-228.56942749023438,36.86550521850586,-0.14163051545619965
0.0001,15867,1.1765270233154297,-228.67364501953125,28.679122924804688,-0.12578170001506805
0.0001,15992,1.1911407709121704,-227.40676879882812,23.75197982788086,-0.13587155938148499
0.0001,16117,1.2059669494628906,-233.73504638671875,28.036861419677734,-0.14685992896556854
0.0001,16242,1.220894455909729,-233.3341827392578,41.388336181640625,-0.15054410696029663
0.0001,16367,1.2358347177505493,-236.08120727539062,41.489402770996094,-0.16749301552772522
0.0001,16492,1.2510207891464233,-239.227783203125,46.1890983581543,-0.1724380999803543
0.0001,16617,1.266310453414917,-239.41021728515625,41.878936767578125,-0.18423771858215332
