train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,121,0.9889029860496521,44.757347106933594,61256.36328125,-0.018592827022075653
0.0001,246,0.9762054681777954,68.10562133789062,65608.984375,-0.03981832042336464
0.0001,371,0.9639197587966919,99.14532470703125,51482.125,-0.06138261407613754
0.0001,496,0.9519975185394287,99.08788299560547,85155.53125,-0.08011586964130402
0.0001,621,0.9409520626068115,120.24185943603516,81815.671875,-0.08371663838624954
0.0001,746,0.9317145943641663,163.11004638671875,88509.21875,-0.07124801725149155
0.0001,871,0.9214535355567932,199.3643035888672,52811.1640625,-0.12350673973560333
0.0001,996,0.9132146835327148,222.17868041992188,44911.1953125,-0.06509765982627869
0.0001,1121,0.9072796702384949,270.54644775390625,51766.2578125,-0.08310478925704956
0.0001,1246,0.8996456265449524,284.275390625,25137.22265625,-0.09611620008945465
0.0001,1371,0.8930532336235046,341.25201416015625,20820.291015625,-0.04042815789580345
0.0001,1496,0.8913386464118958,319.0537109375,17339.9765625,0.0005207653157413006
0.0001,1621,0.8912482857704163,282.00653076171875,17244.08984375,-0.02326263301074505
0.0001,1746,0.8893810510635376,310.3738098144531,13398.673828125,-0.025037698447704315
0.0001,1871,0.8869524598121643,279.2522888183594,11830.494140625,0.050800129771232605
0.0001,1996,0.889532208442688,309.77435302734375,12041.0478515625,0.05576838180422783
0.0001,2121,0.8964465856552124,320.3229064941406,12441.56640625,0.09712624549865723
0.0001,2246,0.9036601185798645,296.5956115722656,14315.478515625,0.01598169468343258
0.0001,2371,0.9075731635093689,330.8847961425781,10677.1875,0.0055567193776369095
0.0001,2496,0.9060553312301636,313.36749267578125,16093.814453125,-0.014264477416872978
0.0001,2621,0.8992708325386047,350.4349365234375,16965.63671875,-0.024665186181664467
0.0001,2746,0.8967687487602234,294.549560546875,11809.078125,0.00716702826321125
0.0001,2871,0.8968613743782043,352.99371337890625,13658.2744140625,-0.008251240476965904
0.0001,2996,0.8968153595924377,317.9512023925781,14226.2216796875,0.00257960706949234
0.0001,3121,0.8958773016929626,296.3804931640625,9036.865234375,-0.01409309171140194
0.0001,3246,0.894935131072998,336.5086669921875,15228.45703125,-0.014927943237125874
0.0001,3371,0.8936845660209656,304.56658935546875,13684.26171875,-0.020872851833701134
0.0001,3496,0.8924385905265808,340.0221252441406,18647.701171875,0.007349883671849966
0.0001,3621,0.8913432359695435,326.6914367675781,12839.8466796875,-0.004817009903490543
0.0001,3746,0.8908805847167969,327.72052001953125,14179.5703125,-0.014318964444100857
0.0001,3871,0.8901817798614502,322.23846435546875,14596.775390625,0.005837269593030214
0.0001,3996,0.8891599178314209,323.47357177734375,14122.2626953125,-0.009064333513379097
0.0001,4121,0.8868995308876038,304.76141357421875,11831.59375,0.00621031504124403
0.0001,4246,0.884793221950531,321.0201416015625,15222.8984375,-0.007628072053194046
0.0001,4371,0.8813424706459045,335.8968811035156,13753.658203125,-0.02012191154062748
0.0001,4496,0.8778292536735535,296.4183654785156,14007.5,-0.01303066499531269
0.0001,4621,0.8745372295379639,327.6353759765625,15877.708984375,-0.01763126812875271
0.0001,4746,0.8720746636390686,319.6312255859375,15067.212890625,-0.016735024750232697
