train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,44359,4.318799018859863,-297.9458312988281,19.589017868041992,-0.11439527571201324
0.0001,44484,4.37491512298584,-303.5993957519531,16.60919952392578,-0.009836696088314056
0.0001,44609,4.437760353088379,-298.51025390625,36.987892150878906,-0.11276960372924805
0.0001,44734,4.498096942901611,-296.39520263671875,22.31805419921875,-0.18936803936958313
0.0001,44859,4.55285120010376,-295.56060791015625,17.766010284423828,-0.0760846883058548
0.0001,44984,4.597757816314697,-288.2782897949219,23.39533233642578,-0.05463059991598129
0.0001,45109,4.638712406158447,-288.3092041015625,22.94577407836914,0.10185255110263824
0.0001,45234,4.673295497894287,-281.83795166015625,22.31273651123047,-0.03466281294822693
0.0001,45359,4.7047014236450195,-287.9208068847656,17.640792846679688,-0.15851998329162598
0.0001,45484,4.734180450439453,-285.53216552734375,24.405813217163086,-0.011447329074144363
0.0001,45609,4.76182222366333,-287.3107604980469,25.579729080200195,-0.10776878893375397
0.0001,45734,4.784336566925049,-284.1943664550781,16.967300415039062,-0.02405501902103424
0.0001,45859,4.8078083992004395,-283.31573486328125,27.075084686279297,-0.007934808731079102
0.0001,45984,4.824913501739502,-283.30206298828125,16.479021072387695,0.09735790640115738
